12	21	33
14	41	55
16	61	77
18	81	99
21	12	33
23	32	55
25	52	77
27	72	99
32	23	55
34	43	77
36	63	99
41	14	55
43	34	77
45	54	99
52	25	77
54	45	99
61	16	77
63	36	99
72	27	99
81	18	99
209	902	1111
219	912	1131
229	922	1151
239	932	1171
249	942	1191
308	803	1111
318	813	1131
328	823	1151
338	833	1171
348	843	1191
407	704	1111
409	904	1313
417	714	1131
419	914	1333
427	724	1151
429	924	1353
437	734	1171
439	934	1373
447	744	1191
449	944	1393
506	605	1111
508	805	1313
516	615	1131
518	815	1333
526	625	1151
528	825	1353
536	635	1171
538	835	1373
546	645	1191
548	845	1393
605	506	1111
607	706	1313
609	906	1515
615	516	1131
617	716	1333
619	916	1535
625	526	1151
627	726	1353
629	926	1555
635	536	1171
637	736	1373
639	936	1575
645	546	1191
647	746	1393
649	946	1595
704	407	1111
706	607	1313
708	807	1515
714	417	1131
716	617	1333
718	817	1535
724	427	1151
726	627	1353
728	827	1555
734	437	1171
736	637	1373
738	837	1575
744	447	1191
746	647	1393
748	847	1595
803	308	1111
805	508	1313
807	708	1515
809	908	1717
813	318	1131
815	518	1333
817	718	1535
819	918	1737
823	328	1151
825	528	1353
827	728	1555
829	928	1757
833	338	1171
835	538	1373
837	738	1575
839	938	1777
843	348	1191
845	548	1393
847	748	1595
849	948	1797
902	209	1111
904	409	1313
906	609	1515
908	809	1717
912	219	1131
914	419	1333
916	619	1535
918	819	1737
922	229	1151
924	429	1353
926	629	1555
928	829	1757
932	239	1171
934	439	1373
936	639	1575
938	839	1777
942	249	1191
944	449	1393
946	649	1595
948	849	1797
1012	2101	3113
1014	4101	5115
1016	6101	7117
1018	8101	9119
1032	2301	3333
1034	4301	5335
1036	6301	7337
1038	8301	9339
1052	2501	3553
1054	4501	5555
1056	6501	7557
1058	8501	9559
1072	2701	3773
1074	4701	5775
1076	6701	7777
1078	8701	9779
1092	2901	3993
1094	4901	5995
1096	6901	7997
1098	8901	9999
1102	2011	3113
1104	4011	5115
1106	6011	7117
1108	8011	9119
1122	2211	3333
1124	4211	5335
1126	6211	7337
1128	8211	9339
1142	2411	3553
1144	4411	5555
1146	6411	7557
1148	8411	9559
1162	2611	3773
1164	4611	5775
1166	6611	7777
1168	8611	9779
1182	2811	3993
1184	4811	5995
1186	6811	7997
1188	8811	9999
1212	2121	3333
1214	4121	5335
1216	6121	7337
1218	8121	9339
1232	2321	3553
1234	4321	5555
1236	6321	7557
1238	8321	9559
1252	2521	3773
1254	4521	5775
1256	6521	7777
1258	8521	9779
1272	2721	3993
1274	4721	5995
1276	6721	7997
1278	8721	9999
1302	2031	3333
1304	4031	5335
1306	6031	7337
1308	8031	9339
1322	2231	3553
1324	4231	5555
1326	6231	7557
1328	8231	9559
1342	2431	3773
1344	4431	5775
1346	6431	7777
1348	8431	9779
1362	2631	3993
1364	4631	5995
1366	6631	7997
1368	8631	9999
1412	2141	3553
1414	4141	5555
1416	6141	7557
1418	8141	9559
1432	2341	3773
1434	4341	5775
1436	6341	7777
1438	8341	9779
1452	2541	3993
1454	4541	5995
1456	6541	7997
1458	8541	9999
1502	2051	3553
1504	4051	5555
1506	6051	7557
1508	8051	9559
1522	2251	3773
1524	4251	5775
1526	6251	7777
1528	8251	9779
1542	2451	3993
1544	4451	5995
1546	6451	7997
1548	8451	9999
1612	2161	3773
1614	4161	5775
1616	6161	7777
1618	8161	9779
1632	2361	3993
1634	4361	5995
1636	6361	7997
1638	8361	9999
1702	2071	3773
1704	4071	5775
1706	6071	7777
1708	8071	9779
1722	2271	3993
1724	4271	5995
1726	6271	7997
1728	8271	9999
1812	2181	3993
1814	4181	5995
1816	6181	7997
1818	8181	9999
1902	2091	3993
1904	4091	5995
1906	6091	7997
1908	8091	9999
2011	1102	3113
2013	3102	5115
2015	5102	7117
2017	7102	9119
2031	1302	3333
2033	3302	5335
2035	5302	7337
2037	7302	9339
2051	1502	3553
2053	3502	5555
2055	5502	7557
2057	7502	9559
2071	1702	3773
2073	3702	5775
2075	5702	7777
2077	7702	9779
2091	1902	3993
2093	3902	5995
2095	5902	7997
2097	7902	9999
2101	1012	3113
2103	3012	5115
2105	5012	7117
2107	7012	9119
2121	1212	3333
2123	3212	5335
2125	5212	7337
2127	7212	9339
2141	1412	3553
2143	3412	5555
2145	5412	7557
